product_id,barcode,product_name,brand,category,subcategory,recommendation_group,serving_size_g,energy_kcal_100g,protein_g_100g,carbs_g_100g,sugar_g_100g,added_sugar_g_100g,total_fat_g_100g,saturated_fat_g_100g,trans_fat_g_100g,fiber_g_100g,sodium_mg_100g,salt_g_100g,ingredients_text,ingredient_count,contains_whole_grain,contains_added_sugar,contains_artificial_sweetener,contains_allergen,allergens,processing_level,food_score,score_version,data_source,verified
AAR001,8901001000001,Wheatfield Digestive Biscuits,Crunchway,Biscuits & Cookies,Digestive Biscuits,biscuits_cookies,30,430,7.2,68.0,18.0,16.5,14.5,5.8,0.1,4.2,420,1.05,"Whole wheat flour, sugar, vegetable oil (palm), oat flakes, malt extract, raising agents (sodium bicarbonate, ammonium bicarbonate), salt",14,true,true,false,true,"wheat,gluten",ultra_processed,58,v1.0,demo_synthetic,false
AAR002,8901001000002,CrispGold Butter Cookies,GoldBake,Biscuits & Cookies,Butter Cookies,biscuits_cookies,25,510,6.0,63.0,28.0,27.0,22.0,12.5,0.2,1.2,340,0.85,"Refined wheat flour, sugar, butter (20%), edible vegetable oil, glucose syrup, raising agents, salt, artificial flavour (butter)",13,false,true,false,true,"wheat,gluten,milk",ultra_processed,38,v1.0,demo_synthetic,false
AAR003,8901001000003,OatPower Oatmeal Cookies,NutriSnap,Biscuits & Cookies,Oatmeal Cookies,biscuits_cookies,30,418,8.5,60.0,14.0,12.0,13.0,4.5,0.0,5.8,280,0.70,"Rolled oats (35%), whole wheat flour, sugar, sunflower oil, honey, raising agent (sodium bicarbonate), cinnamon, salt",11,true,true,false,true,"wheat,gluten,oats",minimally_processed,68,v1.0,demo_synthetic,false
AAR004,8901001000004,Choco Cream Sandwich Biscuits,SweetBite,Biscuits & Cookies,Cream Sandwich,biscuits_cookies,35,490,5.5,68.0,32.0,31.0,19.0,8.5,0.3,1.8,380,0.95,"Refined wheat flour, sugar, vegetable fat (palm, soybean), cocoa powder (4%), glucose syrup, emulsifiers (soy lecithin, E471), artificial vanilla flavour, salt",14,false,true,false,true,"wheat,gluten,soy",ultra_processed,32,v1.0,demo_synthetic,false
AAR005,8901001000005,MultiGrain Cracker Bites,GrainGood,Biscuits & Cookies,Crackers,biscuits_cookies,25,408,9.2,65.0,4.5,3.0,11.5,2.8,0.0,4.8,480,1.20,"Whole wheat flour (40%), rice flour, oat flour, maize flour, sesame seeds, sunflower oil, salt, yeast extract",10,true,false,false,true,"wheat,gluten,sesame",processed,70,v1.0,demo_synthetic,false
AAR006,8901001000006,Jeera Salt Crackers,SnackWave,Biscuits & Cookies,Crackers,biscuits_cookies,25,462,9.5,62.0,2.0,1.5,16.8,3.5,0.0,2.5,620,1.55,"Refined wheat flour, vegetable oil, cumin seeds (2%), salt, yeast, raising agent",8,false,false,false,true,"wheat,gluten",processed,52,v1.0,demo_synthetic,false
AAR007,8901001000007,Almond Oat Biscuits,NutriCore,Biscuits & Cookies,Specialty Biscuits,biscuits_cookies,30,445,9.8,58.0,12.0,10.5,17.2,3.2,0.0,5.5,290,0.72,"Whole oat flour (30%), almond flour (15%), whole wheat flour, coconut sugar, almonds (8%), coconut oil, flaxseeds, vanilla extract, salt",11,true,true,false,true,"wheat,gluten,nuts",minimally_processed,72,v1.0,demo_synthetic,false
AAR008,8901001000008,Glucose Biscuits Classic,QuickBite,Biscuits & Cookies,Glucose Biscuits,biscuits_cookies,20,415,7.5,73.5,22.0,21.5,8.2,4.0,0.1,1.0,380,0.95,"Refined wheat flour, sugar, glucose syrup, vegetable oil, raising agents (sodium bicarbonate, ammonium bicarbonate), salt, skim milk powder",12,false,true,false,true,"wheat,gluten,milk",ultra_processed,36,v1.0,demo_synthetic,false
AAR009,8901001000009,Ragi Sesame Biscuits,EarthBake,Biscuits & Cookies,Millet Biscuits,biscuits_cookies,30,395,6.8,63.5,8.0,6.5,12.0,2.5,0.0,5.2,310,0.78,"Finger millet flour (35%), whole wheat flour, sesame seeds (8%), jaggery, sunflower oil, ginger powder, cardamom, salt",10,true,true,false,true,"wheat,gluten,sesame",minimally_processed,66,v1.0,demo_synthetic,false
AAR010,8901001000010,Premium Dark Choco Biscuits,BelgaSnack,Biscuits & Cookies,Chocolate Biscuits,biscuits_cookies,35,478,7.2,60.5,24.0,23.0,21.5,9.8,0.2,3.2,310,0.78,"Refined wheat flour, sugar, dark chocolate chips (12%), cocoa butter, whole milk powder, vegetable fat, emulsifier (E322), salt, vanilla",15,false,true,false,true,"wheat,gluten,milk,soy",ultra_processed,44,v1.0,demo_synthetic,false
AAR011,8901001000011,Quinoa Chia Protein Biscuits,FitBake,Biscuits & Cookies,Protein Biscuits,biscuits_cookies,30,422,12.5,52.0,6.0,5.0,14.0,3.0,0.0,6.8,260,0.65,"Quinoa flour (20%), whole wheat flour, chia seeds (8%), whey protein isolate, oat bran, coconut oil, maple syrup, baking soda, salt",11,true,true,false,true,"wheat,gluten,milk",minimally_processed,76,v1.0,demo_synthetic,false
