"product_id","barcode","product_name","brand","category","subcategory","recommendation_group","serving_size_g","energy_kcal_100g","protein_g_100g","carbs_g_100g","sugar_g_100g","added_sugar_g_100g","total_fat_g_100g","saturated_fat_g_100g","trans_fat_g_100g","fiber_g_100g","sodium_mg_100g","salt_g_100g","ingredients_text","ingredient_count","contains_whole_grain","contains_added_sugar","contains_artificial_sweetener","contains_allergen","allergens","processing_level","food_score","score_version","data_source","verified"
"AAR0001","8901000000001","SunriseFarm Digestive Biscuits","SunriseFarm","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","28.0","449.9","7.7","69.2","35.0","11.9","14.8","10.7","0.2","2.3","600.0","1.53","Refined wheat flour, sugar, palm oil, glucose syrup, emulsifiers, artificial flavours, salt","9","true","true","false","true","soy","ultra_processed","30","v1.0","synthetic_v2","false"
"AAR0002","8901000000002","NutriCo Digestive Biscuits","NutriCo","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","30.0","442.3","4.2","50.2","10.1","3.5","17.6","3.3","0","7.2","450.0","1.14","Corn grits, sugar, artificial colours, sodium benzoate, artificial flavours","6","true","true","false","true","soy","ultra_processed","51","v1.0","synthetic_v2","false"
"AAR0003","8901000000003","SlimChoice High Fiber","SlimChoice","Biscuits & Cookies","High Fiber","biscuits_cookies","34.0","418.7","8.2","54.8","21.4","7.9","14.5","4.2","0.3","3.5","288.0","0.73","Refined flour, palm oil, MSG, hydrolyzed soy protein, artificial flavours, salt","7","true","true","false","true","milk,soy","ultra_processed","45","v1.0","synthetic_v2","false"
"AAR0004","8901000000004","QuickMeal Crackers Premium","QuickMeal","Biscuits & Cookies","Crackers","biscuits_cookies","28.0","441.3","4.1","53.4","16.0","16.0","16.9","5.7","0.1","0","272.0","0.69","Skimmed milk, sugar, stabilizers, flavours, live cultures","14","true","true","false","true","wheat,gluten,milk","processed","47","v1.0","synthetic_v2","false"
"AAR0005","8901000000005","HarvestGold Millet Biscuits","HarvestGold","Biscuits & Cookies","Millet Biscuits","biscuits_cookies","32.0","445.3","4.5","66.6","10.1","5.9","19.1","9.1","0.2","1.4","334.0","0.85","Rolled oats, dried fruits, seeds, honey, coconut oil","13","true","true","false","true","milk","minimally_processed","55","v1.0","synthetic_v2","false"
"AAR0006","8901000000006","HealthFirst High Fiber","HealthFirst","Biscuits & Cookies","High Fiber","biscuits_cookies","32.0","420.6","7.6","55.1","2.0","2.0","22.8","5.8","0.2","4.4","283.0","0.72","Puffed quinoa, amaranth, seeds, coconut sugar, cinnamon","15","false","true","false","false","","minimally_processed","64","v1.0","synthetic_v2","false"
"AAR0007","8901000000007","GrainMart Butter Cookies","GrainMart","Biscuits & Cookies","Butter Cookies","biscuits_cookies","37.0","433.9","11.1","43.0","26.6","15.4","14.5","6.3","0","3.0","564.0","1.43","Refined wheat flour, sugar, palm oil, glucose syrup, emulsifiers, artificial flavours, salt","9","false","true","false","true","nuts","ultra_processed","36","v1.0","synthetic_v2","false"
"AAR0008","8901000000008","CleanEat Glucose Biscuits Premium","CleanEat","Biscuits & Cookies","Glucose Biscuits","biscuits_cookies","28.0","410.7","7.0","71.3","17.3","7.2","18.6","6.3","0.2","1.7","331.0","0.84","Rice flour, corn grits, sunflower oil, spice mix, salt, citric acid","6","true","true","false","true","wheat,gluten,soy","processed","50","v1.0","synthetic_v2","false"
"AAR0009","8901000000009","HarvestGold Butter Cookies","HarvestGold","Biscuits & Cookies","Butter Cookies","biscuits_cookies","39.0","443.9","8.5","64.0","14.0","0.0","13.9","5.0","0.0","3.1","573.0","1.46","Refined flour, palm oil, MSG, hydrolyzed soy protein, artificial flavours, salt","11","false","false","false","true","milk","ultra_processed","41","v1.0","synthetic_v2","false"
"AAR0010","8901000000010","SwiftGrain Oatmeal Cookies","SwiftGrain","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","36.0","442.7","7.9","48.6","13.7","12.5","28.3","5.4","0.1","3.4","205.0","0.52","Rice flour, corn grits, sunflower oil, spice mix, salt, citric acid","13","false","true","false","true","wheat,gluten","processed","53","v1.0","synthetic_v2","false"
"AAR0011","8901000000011","SpiceBlend Millet Biscuits","SpiceBlend","Biscuits & Cookies","Millet Biscuits","biscuits_cookies","22.0","458.7","6.2","75.2","0.0","0.0","27.0","3.0","0.0","3.7","396.0","1.01","Corn grits, sugar, artificial colours, sodium benzoate, artificial flavours","11","true","false","false","true","wheat,gluten,soy","ultra_processed","53","v1.0","synthetic_v2","false"
"AAR0012","8901000000012","CleanEat High Fiber","CleanEat","Biscuits & Cookies","High Fiber","biscuits_cookies","22.0","403.1","8.9","56.6","35.4","6.0","14.4","8.4","0","4.1","749.0","1.91","Corn syrup, sugar, artificial colours, sodium benzoate, citric acid, preservatives","11","true","true","false","true","soy","ultra_processed","33","v1.0","synthetic_v2","false"
"AAR0013","8901000000013","TrailBlaze High Fiber","TrailBlaze","Biscuits & Cookies","High Fiber","biscuits_cookies","32.0","442.8","9.6","54.1","0.8","0.8","17.5","6.8","0.1","1.8","415.0","1.06","Chickpeas, sunflower oil, spice blend, salt, lemon juice powder","8","true","false","false","true","milk,soy","processed","59","v1.0","synthetic_v2","false"
"AAR0014","8901000000014","FitBite Digestive Biscuits","FitBite","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","34.0","491.0","8.9","54.5","20.6","3.2","19.9","9.5","0.0","5.9","442.0","1.12","Chickpeas, sunflower oil, spice blend, salt, lemon juice powder","16","true","true","false","true","oats,nuts","processed","52","v1.0","synthetic_v2","false"
"AAR0015","8901000000015","HarvestGold High Fiber Premium","HarvestGold","Biscuits & Cookies","High Fiber","biscuits_cookies","29.0","427.6","6.5","56.9","5.8","5.8","17.7","6.8","0.2","3.5","598.0","1.52","Whole wheat flour, oats, seeds, jaggery, sunflower oil, salt","19","false","true","false","true","soy","minimally_processed","57","v1.0","synthetic_v2","false"
"AAR0016","8901000000016","SwiftGrain Butter Cookies Premium","SwiftGrain","Biscuits & Cookies","Butter Cookies","biscuits_cookies","28.0","453.8","6.3","55.4","22.6","12.0","19.6","7.4","0.1","1.4","199.0","0.51","Refined wheat flour, sugar, palm oil, glucose syrup, emulsifiers, artificial flavours, salt","13","false","true","false","true","wheat,gluten,soy","ultra_processed","36","v1.0","synthetic_v2","false"
"AAR0017","8901000000017","DairyPure Crackers","DairyPure","Biscuits & Cookies","Crackers","biscuits_cookies","35.0","441.4","5.5","65.4","17.9","4.0","16.8","6.2","0","4.4","464.0","1.18","Chickpeas, sunflower oil, spice blend, salt, lemon juice powder","14","false","true","false","true","peanuts,sesame","processed","48","v1.0","synthetic_v2","false"
"AAR0018","8901000000018","CleanEat Butter Cookies","CleanEat","Biscuits & Cookies","Butter Cookies","biscuits_cookies","28.0","393.7","6.1","68.1","22.9","19.9","35.3","7.7","0.2","5.9","621.0","1.58","Sugar, vegetable fat, skim milk powder, glucose syrup, emulsifiers, artificial vanilla","13","false","true","false","true","milk,soy","ultra_processed","38","v1.0","synthetic_v2","false"
"AAR0019","8901000000019","HarvestGold Digestive Biscuits","HarvestGold","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","30.0","411.8","7.5","60.1","17.8","17.8","6.7","6.7","0","2.3","706.0","1.8","Corn grits, sugar, artificial colours, sodium benzoate, artificial flavours","7","true","true","false","true","peanuts,sesame","ultra_processed","39","v1.0","synthetic_v2","false"
"AAR0020","8901000000020","HealthFirst Butter Cookies Premium","HealthFirst","Biscuits & Cookies","Butter Cookies","biscuits_cookies","27.0","413.5","9.4","58.2","16.2","12.4","12.7","12.4","0.2","0","408.0","1.04","Brown rice, lentils, vegetables, spices, salt","13","false","true","false","true","soy","minimally_processed","49","v1.0","synthetic_v2","false"
"AAR0021","8901000000021","BakeMaster Glucose Biscuits","BakeMaster","Biscuits & Cookies","Glucose Biscuits","biscuits_cookies","24.0","411.2","7.8","68.0","22.7","1.2","14.3","4.6","0.0","7.9","441.0","1.12","Almonds, cashews, raisins, sunflower seeds, salt","13","false","true","false","false","","minimally_processed","58","v1.0","synthetic_v2","false"
"AAR0022","8901000000022","NutriPulse Oatmeal Cookies","NutriPulse","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","14.0","498.7","10.1","51.8","11.0","11.0","12.5","7.3","0.2","1.2","482.0","1.23","Corn syrup, sugar, artificial colours, sodium benzoate, citric acid, preservatives","7","false","true","false","true","milk","ultra_processed","41","v1.0","synthetic_v2","false"
"AAR0023","8901000000023","SlimChoice Oatmeal Cookies","SlimChoice","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","25.0","427.4","5.5","77.1","0","0","16.7","10.3","0","6.4","382.0","0.97","Rice flour, corn grits, sunflower oil, spice mix, salt, citric acid","12","true","false","false","true","soy","processed","62","v1.0","synthetic_v2","false"
"AAR0024","8901000000024","HealthFirst Digestive Biscuits Premium","HealthFirst","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","29.0","441.0","6.8","64.6","12.1","12.1","19.3","10.8","0","8.8","113.0","0.29","Sugar, vegetable fat, skim milk powder, glucose syrup, emulsifiers, artificial vanilla","12","true","true","true","true","wheat,gluten","ultra_processed","51","v1.0","synthetic_v2","false"
"AAR0025","8901000000025","EarthFoods Oatmeal Cookies","EarthFoods","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","34.0","443.4","6.8","62.3","9.1","6.7","20.2","7.1","0.0","5.7","426.0","1.08","Rolled oats, dried fruits, seeds, honey, coconut oil","12","true","true","false","true","milk,soy","minimally_processed","63","v1.0","synthetic_v2","false"
"AAR0026","8901000000026","GreenLeaf Oatmeal Cookies Premium","GreenLeaf","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","29.0","410.1","6.9","70.0","24.1","14.2","16.6","9.8","0.0","4.9","455.0","1.16","Sugar, vegetable fat, skim milk powder, glucose syrup, emulsifiers, artificial vanilla","14","true","true","true","true","oats,nuts","ultra_processed","37","v1.0","synthetic_v2","false"
"AAR0027","8901000000027","SunriseFarm Glucose Biscuits","SunriseFarm","Biscuits & Cookies","Glucose Biscuits","biscuits_cookies","26.0","459.8","9.6","74.4","14.2","14.2","14.4","7.0","0.1","3.7","469.0","1.19","Whole wheat flour, refined flour, sugar, vegetable oil, salt, yeast, emulsifiers","17","false","true","false","true","wheat,gluten,milk","processed","51","v1.0","synthetic_v2","false"
"AAR0028","8901000000028","FitBite Millet Biscuits","FitBite","Biscuits & Cookies","Millet Biscuits","biscuits_cookies","35.0","404.8","5.6","73.3","21.9","17.6","19.1","6.0","0.0","3.7","278.0","0.71","Rice flour, corn grits, sunflower oil, spice mix, salt, citric acid","10","true","true","false","true","milk","processed","50","v1.0","synthetic_v2","false"
"AAR0029","8901000000029","DairyPure Cream Sandwich","DairyPure","Biscuits & Cookies","Cream Sandwich","biscuits_cookies","23.0","410.2","7.4","67.3","8.4","4.6","17.2","6.7","0.0","2.3","415.0","1.06","Chickpeas, sunflower oil, spice blend, salt, lemon juice powder","6","false","true","false","true","milk","processed","52","v1.0","synthetic_v2","false"
"AAR0030","8901000000030","HealthFirst Digestive Biscuits Premium","HealthFirst","Biscuits & Cookies","Digestive Biscuits","biscuits_cookies","32.0","413.4","7.6","66.5","28.8","19.7","15.2","5.9","0","3.5","337.0","0.86","Almonds, cashews, raisins, sunflower seeds, salt","8","false","true","false","true","milk,soy","minimally_processed","49","v1.0","synthetic_v2","false"
"AAR0031","8901000000031","SpiceBlend Oatmeal Cookies Premium","SpiceBlend","Biscuits & Cookies","Oatmeal Cookies","biscuits_cookies","30.0","450.6","11.1","63.1","18.0","18.0","14.0","6.7","0.1","3.7","264.0","0.67","Skimmed milk, sugar, stabilizers, flavours, live cultures","12","true","true","false","true","wheat,gluten","processed","55","v1.0","synthetic_v2","false"
"AAR0032","8901000000032","ProSnack Glucose Biscuits","ProSnack","Biscuits & Cookies","Glucose Biscuits","biscuits_cookies","19.0","478.5","9.9","81.2","6.3","6.3","16.9","12.6","0.0","1.4","290.0","0.74","Skimmed milk, sugar, stabilizers, flavours, live cultures","9","false","true","false","true","soy","processed","51","v1.0","synthetic_v2","false"
"AAR0033","8901000000033","QuickMeal Cream Sandwich Premium","QuickMeal","Biscuits & Cookies","Cream Sandwich","biscuits_cookies","36.0","412.2","8.3","66.7","32.8","20.6","13.1","3.3","0.1","0.2","655.0","1.67","Whole wheat flour, oats, seeds, jaggery, sunflower oil, salt","9","false","true","false","true","soy","minimally_processed","41","v1.0","synthetic_v2","false"
